date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:57	83059/83059	---M--	200	added ('OK')	application/javascript	etag:%221519575786.0-83059-3273331312%22	https://the-wall-cricket.herokuapp.com/static/javascripts/jquery.dataTables.min.js	the-wall-cricket.herokuapp.com/static/javascripts/jquery.dataTables.min.js	(from https://the-wall-cricket.herokuapp.com/)
14:13:57	2067/2067	---M--	200	added ('OK')	application/javascript	etag:%221519575786.0-2067-250745826%22	https://the-wall-cricket.herokuapp.com/static/javascripts/dataTables.bootstrap4.min.js	the-wall-cricket.herokuapp.com/static/javascripts/dataTables.bootstrap4.min.js	(from https://the-wall-cricket.herokuapp.com/)
14:13:57	14309/14309	---M--	200	added ('OK')	application/javascript	etag:%221519575786.0-14309-1536168014%22	https://the-wall-cricket.herokuapp.com/static/javascripts/bootstrap-table.js	the-wall-cricket.herokuapp.com/static/javascripts/bootstrap-table.js	(from https://the-wall-cricket.herokuapp.com/)
14:13:57	205/205	---M--	200	added ('OK')	application/javascript	etag:%221519575786.0-205-209063511%22	https://the-wall-cricket.herokuapp.com/static/javascripts/datepicker.js	the-wall-cricket.herokuapp.com/static/javascripts/datepicker.js	(from https://the-wall-cricket.herokuapp.com/)
14:13:58	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221519575786.0-165742-1230311408%22	https://the-wall-cricket.herokuapp.com/static/fonts/fontawesome-webfont.eot?v=4.7.0	the-wall-cricket.herokuapp.com/static/fonts/fontawesome-webfont3e6e.eot	(from https://the-wall-cricket.herokuapp.com/static/stylesheets/font-awesome.min.css)
14:13:59	77160/77160	---M--	200	added ('OK')	application/octet-stream	etag:%221519575786.0-77160-1784877196%22	https://the-wall-cricket.herokuapp.com/static/fonts/fontawesome-webfont.woff2?v=4.7.0	the-wall-cricket.herokuapp.com/static/fonts/fontawesome-webfont3e6e.woff2	(from https://the-wall-cricket.herokuapp.com/static/stylesheets/font-awesome.min.css)
14:13:59	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221519575786.0-165742-1230311408%22	https://the-wall-cricket.herokuapp.com/static/fonts/fontawesome-webfont.eot?	the-wall-cricket.herokuapp.com/static/fonts/fontawesome-webfontd41d.eot	(from https://the-wall-cricket.herokuapp.com/static/stylesheets/font-awesome.min.css)
14:14:00	165548/165548	---M--	200	added ('OK')	application/font-sfnt	etag:%221519575786.0-165548-1232998390%22	https://the-wall-cricket.herokuapp.com/static/fonts/fontawesome-webfont.ttf?v=4.7.0	the-wall-cricket.herokuapp.com/static/fonts/fontawesome-webfont3e6e.ttf	(from https://the-wall-cricket.herokuapp.com/static/stylesheets/font-awesome.min.css)
14:14:00	3266/3266	---M--	200	added ('OK')	image/png	etag:%221519575786.0-3266-2062421815%22	https://the-wall-cricket.herokuapp.com/static/images/ui-icons_444444_256x240.png	the-wall-cricket.herokuapp.com/static/images/ui-icons_444444_256x240.png	(from https://the-wall-cricket.herokuapp.com/static/stylesheets/jquery-ui.css)
14:14:01	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%221519575786.0-98024-1507266650%22	https://the-wall-cricket.herokuapp.com/static/fonts/fontawesome-webfont.woff?v=4.7.0	the-wall-cricket.herokuapp.com/static/fonts/fontawesome-webfont3e6e.woff	(from https://the-wall-cricket.herokuapp.com/static/stylesheets/font-awesome.min.css)
14:14:01	1287/1287	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2026%20Feb%202018%2008:44:00%20GMT	https://the-wall-cricket.herokuapp.com/static/images/ui-icons_555555_256x240.png	the-wall-cricket.herokuapp.com/static/images/ui-icons_555555_256x240.png	(from https://the-wall-cricket.herokuapp.com/static/stylesheets/jquery-ui.css)
14:14:01	3264/3264	---M--	200	added ('OK')	image/png	etag:%221519575786.0-3264-2367164515%22	https://the-wall-cricket.herokuapp.com/static/images/ui-icons_ffffff_256x240.png	the-wall-cricket.herokuapp.com/static/images/ui-icons_ffffff_256x240.png	(from https://the-wall-cricket.herokuapp.com/static/stylesheets/jquery-ui.css)
14:14:02	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:%221519575786.0-444379-1233129464%22	https://the-wall-cricket.herokuapp.com/static/fonts/fontawesome-webfont.svg?v=4.7.0	the-wall-cricket.herokuapp.com/static/fonts/fontawesome-webfont3e6e.svg	(from https://the-wall-cricket.herokuapp.com/static/stylesheets/font-awesome.min.css)
14:14:02	3262/3262	---M--	200	added ('OK')	image/png	etag:%221519575786.0-3262-2069172028%22	https://the-wall-cricket.herokuapp.com/static/images/ui-icons_777620_256x240.png	the-wall-cricket.herokuapp.com/static/images/ui-icons_777620_256x240.png	(from https://the-wall-cricket.herokuapp.com/static/stylesheets/jquery-ui.css)
14:14:02	3262/3262	---M--	200	added ('OK')	image/png	etag:%221519575786.0-3262-2155024261%22	https://the-wall-cricket.herokuapp.com/static/images/ui-icons_cc0000_256x240.png	the-wall-cricket.herokuapp.com/static/images/ui-icons_cc0000_256x240.png	(from https://the-wall-cricket.herokuapp.com/static/stylesheets/jquery-ui.css)
14:14:03	3266/3266	---M--	200	added ('OK')	image/png	etag:%221519575786.0-3266-2080706377%22	https://the-wall-cricket.herokuapp.com/static/images/ui-icons_777777_256x240.png	the-wall-cricket.herokuapp.com/static/images/ui-icons_777777_256x240.png	(from https://the-wall-cricket.herokuapp.com/static/stylesheets/jquery-ui.css)
14:14:03	15865/15865	---M--	200	added ('OK')	image/png	etag:%221519575786.0-15865-3981315442%22	https://the-wall-cricket.herokuapp.com/static/images/espncricinfo.png	the-wall-cricket.herokuapp.com/static/images/espncricinfo.png	(from https://the-wall-cricket.herokuapp.com/News)
14:14:05	63430/63430	---M--	200	added ('OK')	image/png	etag:%221519575786.0-63430-4224716269%22	https://the-wall-cricket.herokuapp.com/static/images/yahoocricnews.png	the-wall-cricket.herokuapp.com/static/images/yahoocricnews.png	(from https://the-wall-cricket.herokuapp.com/News)
14:14:05	7086/7086	---M--	200	added ('OK')	image/png	etag:%221519575786.0-7086-253496810%22	https://the-wall-cricket.herokuapp.com/static/images/Rediff.com-Logo.png	the-wall-cricket.herokuapp.com/static/images/Rediff.com-Logo.png	(from https://the-wall-cricket.herokuapp.com/Blogs)
14:14:05	39048/39048	---M--	200	added ('OK')	image/png	etag:%221519575786.0-39048-2132347220%22	https://the-wall-cricket.herokuapp.com/static/images/SCO.png	the-wall-cricket.herokuapp.com/static/images/SCO.png	(from https://the-wall-cricket.herokuapp.com/Rankings)
14:14:06	559959/559959	---M--	200	added ('OK')	image/png	etag:%221519575786.0-559959-3108178907%22	https://the-wall-cricket.herokuapp.com/static/images/cricbuzz.png	the-wall-cricket.herokuapp.com/static/images/cricbuzz.png	(from https://the-wall-cricket.herokuapp.com/News)
